9,34,4,48
13,34,6,49
12,33,5,55
14,34,5,49
10,31,6,52
10,35,7,53
10,33,6,52
16,30,7,52
11,35,6,53
11,34,4,50
13,32,6,55
13,31,5,49
10,38,7,50
12,33,7,52
11,33,5,51
12,36,4,51
12,35,3,51
10,28,6,52
13,33,7,55
12,35,4,49
9,35,5,52
10,35,3,49
11,34,6,50
10,32,4,51
14,35,6,50
7,34,4,49
9,35,3,50
13,33,6,49
9,31,7,51
14,34,7,50
11,32,4,51
11,38,5,52
10,33,5,52
9,36,5,52
12,36,4,52
9,31,6,50
11,35,7,54
13,28,5,51
9,37,4,48
9,31,4,50
9,30,7,51
12,35,5,49
10,32,4,49
11,35,2,51
12,37,6,50
10,32,6,55
10,37,3,50
13,33,7,54
12,36,6,51
12,37,5,52
9,36,4,53
9,34,4,54
10,31,6,51
11,34,7,53
12,30,7,49
10,31,6,51
11,37,6,51
15,31,6,50
12,31,4,49
11,35,5,49
13,34,3,53
10,31,6,51
12,35,7,53
13,34,4,50
12,36,6,49
11,29,5,51
13,32,7,50
10,33,5,55
9,31,6,51
11,31,7,49
10,31,7,52
13,35,3,53
10,34,6,51
11,34,6,48
18,29,7,53
9,34,4,52
7,30,6,51
12,33,4,53
11,34,6,50
10,35,4,54
13,28,7,51
11,33,6,47
11,31,4,51
13,33,6,52
8,36,5,48
10,33,4,52
8,36,5,51
11,37,5,51
13,30,5,49
12,32,7,48
13,29,6,50
13,34,5,51
12,33,4,48
13,32,5,48
12,31,6,50
13,33,6,48
10,32,6,55
13,32,7,48
12,36,4,51
11,32,6,55
12,32,7,48
12,32,3,51
14,34,5,50
10,35,7,52
9,34,4,51
14,35,4,50
9,30,7,50
12,33,6,50
9,35,3,49
14,31,5,52
12,35,7,48
12,34,7,50
11,33,5,54
12,36,6,51
14,33,6,49
8,32,5,51
13,32,4,51
13,33,6,52
13,35,3,53
8,34,6,47
12,34,6,51
11,37,6,48
9,36,4,50
9,36,3,50
14,35,7,49
9,33,5,50
11,36,5,48
13,29,6,53
9,31,7,51
11,32,6,55
14,31,6,51
13,34,5,53
11,32,3,51
10,35,4,52
11,34,7,53
10,35,4,48
8,34,6,50
12,36,7,51
11,33,4,53
12,37,5,52
11,33,3,51
9,33,4,50
12,33,7,53
11,33,7,50
11,37,7,50
11,32,5,48
12,34,6,49
7,31,7,52
11,32,7,48
11,38,4,52
11,36,7,51
12,34,5,50
11,33,5,49
8,32,7,50
11,35,3,49
13,35,5,52
14,35,5,53
10,35,3,49
10,35,6,53
12,36,3,50
10,32,7,50
11,32,4,54
9,32,6,49
11,34,4,54
9,36,5,53
12,31,6,51
13,33,6,50
13,34,5,51
11,36,7,51
13,35,7,51
10,37,3,52
14,31,5,51
6,33,5,48
11,31,6,55
11,33,6,51
11,35,7,52
12,36,4,50
11,34,5,52
10,36,6,53
12,32,5,49
8,31,4,50
10,37,7,52
12,32,5,55
11,32,6,48
11,35,7,52
14,34,7,52
